company,slug
bjakcareer,bjakcareer
nord-security,nord-security
sensor-tower,sensor-tower
primer.io,primer.io
spoton,spoton
glia,glia
hostinger,hostinger
stack-ai,stack-ai
42dot,42dot
techtorch,techtorch
anyone-ai,anyone-ai
aurorasolar,aurorasolar
mapbox,mapbox
airspace-intelligence.com,airspace-intelligence.com
masabi,masabi
clickup,clickup
neurons-lab.com,neurons-lab.com
joyteractive,joyteractive
lumilens,lumilens
nexos-ai,nexos-ai
snowflake,snowflake
oscilar,oscilar
stargate-foundation,stargate-foundation
jump-app,jump-app
gt-hq,gt-hq
rho,rho
confluent,confluent
blp-digital,blp-digital
tooploox,tooploox
everai,everai
shiftkey,shiftkey
optro,optro
solvd,solvd
kraken.com,kraken.com
10xteam,10xteam
zowie,zowie
rnrs.solutions,rnrs.solutions
the-global-talent-co,the-global-talent-co
attio,attio
onhires,onhires
maxima-consulting,maxima-consulting
brainly,brainly
everfield,everfield
zuru,zuru
elevenlabs,elevenlabs
molecule-software,molecule-software
ideals,ideals
oyster,oyster
satispay,satispay
wemolo,wemolo
pragmatike,pragmatike
highlightta,highlightta
lilt-production,lilt-production
wonderly,wonderly
welltech,welltech
montu-uk,montu-uk
wincent,wincent
klim,klim
camunda,camunda
wetravel,wetravel
zip,zip
