company,slug
inetum2,inetum2
AlterSolutions,AlterSolutions
softwaremind,softwaremind
sigmasoftware2,sigmasoftware2
renesaselectronics,renesaselectronics
SopraSteria1,SopraSteria1
InPost,InPost
miratech1,miratech1
BoschGroup,BoschGroup
arhs,arhs
aristanetworks,aristanetworks
Nearmap,Nearmap
mirantis,mirantis
evolution,evolution
collabera2,collabera2
TechlandSA,TechlandSA
ProMediaGroup,ProMediaGroup
gcore,gcore
devoteam,devoteam
fusionconsulting,fusionconsulting
msxinternational,msxinternational
cdprojektred,cdprojektred
sportradar,sportradar
smartrecruiters,smartrecruiters
StepStoneGroup,StepStoneGroup
endava,endava
ifs1,ifs1
nagarro1,nagarro1
Vattenfall,Vattenfall
somfygroup,somfygroup
exparteinc,exparteinc
netcompany1,netcompany1
nielseniq,nielseniq
ColliersInternationalEMEA,ColliersInternationalEMEA
stackone,stackone
islandsbanki,islandsbanki
HOS247LLC,HOS247LLC
ramboll3,ramboll3
LACROIX1,LACROIX1
Unit44,Unit44
MicroStrategy1,MicroStrategy1
averydennison,averydennison
talan,talan
AUTENTISpZOo,AUTENTISpZOo
eurofins,eurofins
liftedanupworkcompany,liftedanupworkcompany
Rituals1,Rituals1
frasersgroup,frasersgroup
stowgroup,stowgroup
heimstaden,heimstaden
expeditors,expeditors
beckersgroup,beckersgroup
HireVue,HireVue
Konecranes,Konecranes
CliffordChance,CliffordChance
aecom2,aecom2
PeopleCanFly,PeopleCanFly
wabtec,wabtec
wnsglobalservices144,wnsglobalservices144
TessenderloGroup,TessenderloGroup
BEUMERGroup1,BEUMERGroup1
coface,coface
kanadeviainova,kanadeviainova
Ignitisgroup,Ignitisgroup
ecovadis,ecovadis
thenielsencompany,thenielsencompany
allegisglobalsolutions,allegisglobalsolutions
Nemera,Nemera
blackapplesolutionsltd1,blackapplesolutionsltd1
O-I,O-I
turnertownsend,turnertownsend
metgroup,metgroup
louisdreyfuscompany,louisdreyfuscompany
cielo2,cielo2
oetiker,oetiker
SyngentaGroup,SyngentaGroup
Ergomed,Ergomed
abbvie,abbvie
revalize,revalize
fluentbe,fluentbe
joveosandbox,joveosandbox
JACOBSDOUWEEGBERTS,JACOBSDOUWEEGBERTS
umdaschgroup,umdaschgroup
psicro,psicro
sobi,sobi
kombo,kombo
Averna1,Averna1
iotagroup,iotagroup
Salomon,Salomon
tomra,tomra
jobsforhumanity,jobsforhumanity
binance,binance
Ayming,Ayming
auto1,auto1
AccorHotel,AccorHotel
EgisGroup,EgisGroup
mattelinc,mattelinc
eversana1,eversana1
solidigm,solidigm
InterIKEAGroup,InterIKEAGroup
gerresheimer,gerresheimer
deliveryhero,deliveryhero
RedBull,RedBull
Wise,Wise
Allegro,Allegro
INNERGY1,INNERGY1
crossmark1,crossmark1
ACT-ON,ACT-ON
AccorCorpo,AccorCorpo
HMGroup,HMGroup
afry,afry
VeoliaEnvironnementSA,VeoliaEnvironnementSA
Activy1,Activy1
bectondickinson2,bectondickinson2
dev2,dev2
lgcgroup,lgcgroup
rotork1,rotork1
servicenow,servicenow
securitas,securitas
metromakro,metromakro
DreesSommerSE,DreesSommerSE
cieloprojects,cieloprojects
e2,e2
Kronospan,Kronospan
Iqarus,Iqarus
CatalogicSoftware,CatalogicSoftware
Oterra1,Oterra1
jysk,jysk
sgs,sgs
