company,tenant,wd_host,site,headcount,industry
Hitachi,hitachi,wd1,hitachi,288000,конгломерат/электроника
Citi,citi,wd5,2,226000,банкинг
Statestreet,statestreet,wd1,global,52000,финансовые услуги
Freseniusmedicalcare,freseniusmedicalcare,wd3,fme,111000,здравоохранение (диализ)
Abb,abb,wd3,External_Career_Page,112000,промышленная автоматизация
BorgWarner,borgwarner,wd5,borgwarner_careers,37500,автокомпоненты
Aptiv,aptiv,wd5,aptiv_careers,140000,автокомпоненты/электроника
Advocate Health,aah,wd5,external,160000,здравоохранение
Rockwellautomation,rockwellautomation,wd1,external_rockwell_automation,26000,промышленная автоматизация
Rhe (R1111),rhe,wd3,R1111,Неизвестно,Неизвестно
IQVIA,iqvia,wd1,iqvia,88000,клинические исследования (CRO)
Bristolmyerssquibb,bristolmyerssquibb,wd5,bms,32500,фармацевтика
Brenntag,brenntag,wd3,brenntag_jobs,17000,химическая дистрибуция
Strada,strada,wd12,careers,8000-10000,HR-аутсорсинг/расчёт зарплаты
Stryker,stryker,wd1,strykercareers,56000,медицинское оборудование
ICON,icon,wd3,broadbean_external,40000,клинические исследования (CRO)
Kiongroup,kiongroup,wd3,kiongroup,42000,производство складского оборудования
Ryder,ryder,wd5,rydercareers,52000,логистика/аренда транспорта
Reasonable Accommodation Sabre,sabre,wd1,sabrejobs,5000-6500,travel-технологии/IT-услуги
Woodward,woodward,wd5,woodward,7500-10200,аэрокосмическое машиностроение
Aviva Investors (External),aviva,wd1,External,39500,страхование/инвестиции
Mdlz,mdlz,wd3,external,90000,производство продуктов питания
Medtronic (Redeploymentmedtroniccareers),medtronic,wd1,redeploymentmedtroniccareers,95000,медицинское оборудование
Medtronic,medtronic,wd1,medtroniccareers,95000,медицинское оборудование
Synnex,synnex,wd5,tdsynnexcareers,24500,IT-дистрибуция
Sbdinc,sbdinc,wd1,stanley_black_decker_career_site,45500,производство инструментов
Pae,pae,wd1,amentum_careers,53000,оборонные/инженерные услуги
Genpact,genpact,wd108,External_Careers,128000-140000,IT-услуги/аутсорсинг (BPO)
TTi Group,ttiemea,wd3,TTI,48500,производство электроинструментов
U.S. Bank,usbank,wd1,us_bank_careers,68500,банкинг
Ig,ig,wd103,ext_ig,2500-4300,финтех/онлайн-трейдинг
